source_domain,source_url,source_title,anchor_text,broken_url,broken_domain,status,follow_status,link_type,final_domain
horshamsparrows.co.uk,https://www.horshamsparrows.co.uk/useful-links/,Useful Links,,https://schro.link/zrgqxq,schro.link,404,dofollow,broken,schro.link
horshamsparrows.co.uk,https://www.horshamsparrows.co.uk/useful-links/,Useful Links,web page,https://www.horsham.gov.uk/parks-and-countryside/sports-in-our-parks/football-pitches,horsham.gov.uk,403,dofollow,broken,horsham.gov.uk
horshamsparrows.co.uk,https://www.horshamsparrows.co.uk/useful-links/,Useful Links,,https://scwgfl.pitchero.com/,pitchero.com,404,dofollow,broken,pitchero.com
horshamsparrows.co.uk,https://www.horshamsparrows.co.uk/useful-links/,Useful Links,Affinity Hosting- Managed WordPress Hosting,https://affinity.hosting/,affinity.hosting,fetch failed,dofollow,broken,affinity.hosting
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,www.cornwallfootballforum.com,http://www.cornwallfootballforum.com/forum/,cornwallfootballforum.com,403,dofollow,broken,cornwallfootballforum.com
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,Western League Website,http://toolstationleague.com/,toolstationleague.com,redirect->toolstation.com,dofollow,redirected_same_topic,toolstation.com
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,South West Peninsula FA Fulltime Website,https://fulltime.thefa.com/index.html?divisionseason=628772759,thefa.com,403,dofollow,broken,thefa.com
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,St Piran League,https://fulltime.thefa.com/index.html?league=656725252,thefa.com,403,dofollow,broken,thefa.com
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,The Cornwall Youth Football League,https://fulltime.thefa.com/index.html?league=331135148,thefa.com,403,dofollow,broken,thefa.com
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,Earthbound Electrical Cornwall Women's League,https://fulltime.thefa.com/index.html?league=265458316,thefa.com,403,dofollow,broken,thefa.com
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,Child Exploitation &amp; Online Protection Centre,http://ceop.police.uk/,police.uk,408,dofollow,broken,police.uk
stdayafc.co.uk,http://www.stdayafc.co.uk/useful-links/,Useful Links,Thinkuknow.co.uk,http://www.thinkuknow.co.uk/,thinkuknow.co.uk,408,dofollow,broken,thinkuknow.co.uk
hdjfl.co.uk,https://hdjfl.co.uk/our-league/useful-links/,Useful Links - Harrogate & District Junior Football League,,https://grassrootstechnology.freshdesk.com/support/solutions/articles/48000979384-downloading-squad-lists,freshdesk.com,fetch failed,nofollow,broken,freshdesk.com
monkfrystonfc.co.uk,https://www.monkfrystonfc.co.uk/general-5,Useful Links | My Site,https://app.teamfeepay.com/,https://app.teamfeepay.com/,teamfeepay.com,403,dofollow,broken,teamfeepay.com
monkfrystonfc.co.uk,https://www.monkfrystonfc.co.uk/general-5,Useful Links | My Site,Selby &amp; District Junior Football League (thefa.com),https://fulltime.thefa.com/index.html?league=4220393,thefa.com,403,dofollow,broken,thefa.com
monkfrystonfc.co.uk,https://www.monkfrystonfc.co.uk/general-5,Useful Links | My Site,Home | Selby &amp; District Junior Football League (selby-district-junior-football-league.co.uk),https://www.selby-district-junior-football-league.co.uk/,selby-district-junior-football-league.co.uk,redirect->expireddomains.com,dofollow,likely_expired_domain_parked,expireddomains.com
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,High Tunstall VLE,https://hightunstallhartlepoolsch.sharepoint.com/sites/HighTunstallCollegeofScienceVLE,sharepoint.com,403,dofollow,broken,sharepoint.com
htcs.org.uk,https://htcs.org.uk/useful-links,» Useful Links,Parent Pay,https://www.parentpay.com/,parentpay.com,403,dofollow,broken,parentpay.com
