domain,example_url,discovery_query,relevance_score,authority_metric,crawl_status
grassrootsfootballuk.com,https://www.grassrootsfootballuk.com/,grassroots football uk,0.75,"rank=, etv=2689.7530185002834",pending
teamgrassroots.co.uk,https://www.teamgrassroots.co.uk/,grassroots football uk,1,"rank=, etv=8948.742003800347",crawled_no_broken_links
thefa.com,https://www.thefa.com/competitions/grassroots,grassroots football uk,0.75,"rank=, etv=8124926.080182616",crawled_no_broken_links
englandfootball.com,https://www.englandfootball.com/participate/behaviour/the-grassroots-code,grassroots football uk,0.75,"rank=, etv=9296868.974375464",crawled_no_broken_links
footballfoundation.org.uk,https://footballfoundation.org.uk/,grassroots football uk,1,"rank=, etv=25215.675946544856",crawled_no_broken_links
diamondfootball.com,https://diamondfootball.com/news/3765/what-is-grassroots-football?srsltid=AU7gw4VWBJtUo7t8n-7plxWhnHNL5vDfyRkumfGqnIoWUjQqKvd8AdYA,grassroots football uk,0.75,"rank=, etv=64139.380012137815",crawled_no_broken_links
mcdonalds.com,https://www.mcdonalds.com/gb/en-gb/football.html,grassroots football uk,0.5,"rank=, etv=10165465.276508734",pending
sports-tours.co.uk,https://www.sports-tours.co.uk/blog/why-is-grassroots-football-important/,grassroots football uk,0.75,"rank=, etv=3776.638706572354",pending
ballrz.co.uk,https://www.ballrz.co.uk/grassroots-football,grassroots football uk,1,"rank=, etv=5233.992020815611",crawled_no_broken_links
thecoacheslink.com,https://www.thecoacheslink.com/grassrootsfootball-uk/,grassroots football uk,0.5,"rank=, etv=1161.1960052791983",pending
footballparent.co.uk,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,grassroots football uk,1,"rank=, etv=727.5850075408816",pending
juniorgrassrootshub.com,https://www.juniorgrassrootshub.com/,grassroots football uk,1,"rank=, etv=30726.651170974597",crawled_no_broken_links
grassrootsfootballforgood.com,https://www.grassrootsfootballforgood.com/,grassroots football uk,0.5,"rank=, etv=1.8339999616146088",pending
prevent-suicide.org.uk,https://prevent-suicide.org.uk/ask-now-save-lives-michael-chakraverty/,grassroots football uk,0.25,"rank=, etv=14938.94581178762",pending
grassrootsworkspace.com,https://www.grassrootsworkspace.com/,grassroots football uk,0.25,"rank=, etv=600.4421420991421",pending
sportengland.org,https://www.sportengland.org/guidance-and-support/supporting-grassroots-organisers,grassroots football uk,0.25,"rank=, etv=171038.497127397",pending
grassrootswildlandfirefighters.com,https://www.grassrootswildlandfirefighters.com/,grassroots football uk,0.25,unavailable,pending
nfyl.co.uk,https://www.nfyl.co.uk/,youth football uk,0.25,"rank=, etv=4826.575011912733",pending
londonfa.com,https://www.londonfa.com/play/youth-boys,youth football uk,1,"rank=, etv=102658.70114814304",crawled_no_broken_links
selkent.org.uk,https://www.selkent.org.uk/,youth football uk,0.25,"rank=, etv=21106.153020342812",pending
profootballacademy.com,https://profootballacademy.com/uk/,youth football uk,0.75,"rank=, etv=13441.378057885915",crawled_no_broken_links
premierleague.com,https://www.premierleague.com/en/footballandcommunity/youth-development/parent-hub/the-academy-experience,youth football uk,0.25,"rank=, etv=58626461.710535154",pending
juniorpremierleague.com,https://www.juniorpremierleague.com/england/about/,youth football uk,0.25,"rank=, etv=20998.83811464347",pending
ukfootballscouting.co.uk,https://www.ukfootballscouting.co.uk/youthfootballtrials,youth football uk,0.25,"rank=, etv=1169.9119907096028",pending
scottishfa.co.uk,https://www.scottishfa.co.uk/en/play-football/children-youth-football,youth football uk,0.5,"rank=, etv=1437315.6691990905",pending
coach-os.com,https://www.coach-os.com/en/wiki/jugendfussball-ligasystem-england,youth football uk,1,"rank=, etv=206.1049988567829",crawled_no_broken_links
wemakefootballers.com,https://wemakefootballers.com/uk,youth football uk,0.75,"rank=, etv=28004.88407851197",crawled_no_broken_links
pcfacademy.co.uk,https://www.pcfacademy.co.uk/age-group-checker,youth football uk,0.5,"rank=, etv=559.0459982827306",pending
coventryunitedjuniorsfc.co.uk,https://www.coventryunitedjuniorsfc.co.uk/,junior football uk,0.5,"rank=, etv=1150.0350063741207",pending
juniorelite.co.uk,https://www.juniorelite.co.uk/,junior football uk,0.75,"rank=, etv=387.3920059353113",pending
thecoachdiary.com,https://www.thecoachdiary.com/parents-warning-football-academies-a-side-of-football-no-one-talks-about/,football academy parents,0.5,"rank=, etv=358.19099789112806",pending
no1fan.club,https://no1fan.club/,football academy parents,1,"rank=, etv=391.35399585962296",crawled_no_broken_links
