opportunity_score,broken_url,broken_domain,old_resource_topic,total_referring_domains,quality_referring_domains,strongest_referring_domain,strongest_linking_url,follow_status,UK_relevance,football_relevance,existing_football_parent_url,replacement_quality,new_article_required,acquisition_candidate,recommended_action
38,https://www.grassroots-football.uk/grassroots-football-clubs/,grassroots-football.uk,Grassroots Clubs -  grassroots football clubs ,0,not_analysed (below threshold),,,mostly_dofollow,no,high,https://www.footballparent.co.uk/girls-football/girls-academy-vs-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
35,https://www.grassroots-football.uk/,grassroots-football.uk,Click here to visit Grassroots Football UK and register your club -  ,1,not_analysed (below threshold),,,mostly_dofollow,yes,high,https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
30,https://www.englandfootball.com/play/youth-football/weetabix-wildcats?gclid=Cj0KCQjw06-oBhC6ARIsAGuzdw3NiJu18wq0nJljSenQYuzgQd6jYihd-ele9Te7a1qEXjBI1LhGFPgaAmF0EALw_wcB,englandfootball.com, play youth football weetabix wildcats,16,16,oundletownfc.co.uk,https://www.pitchero.com/clubs/lincolnunited/,mostly_dofollow,yes,medium,https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,new_article_opportunity,yes,no,Create replacement article then outreach
28,https://thebootroom.thefa.com/learning/qualifications/the-fa-playmaker,thefa.com,https://thebootroom.thefa.com/learning/qualifications/the-fa-playmaker Link -  learning qualifications the fa playmaker,93,93,middlesexfa.com,https://www.middlesexfa.com/,mostly_dofollow,yes,medium,https://www.footballparent.co.uk/coaching/what-qualifications-do-i-need-to-be-a-football-coach,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
27,https://www.grassroots-football.uk/grassroots-football-tournaments/,grassroots-football.uk,Information about Tournaments -  grassroots football tournaments ,0,not_analysed (below threshold),,,mostly_dofollow,no,high,https://www.footballparent.co.uk/girls-football/girls-academy-vs-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
27,https://www.grassroots-football.uk/grassroots-football-leagues/,grassroots-football.uk,Local Leagues (By Region) -  grassroots football leagues ,0,not_analysed (below threshold),,,mostly_dofollow,no,high,https://www.footballparent.co.uk/girls-football/girls-academy-vs-grassroots-football,new_article_opportunity,yes,yes,Investigate domain acquisition
26,http://www.nelsonfootballclub.co.uk/,nelsonfootballclub.co.uk,Nelson Football Club -  ,30,30,odp.org,https://www.odp.org/Sports/Soccer/UEFA/England/Clubs/N/Nelson/,mostly_nofollow,yes,medium,https://www.footballparent.co.uk/academy-pathway/can-academy-players-play-grassroots-football,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
23,https://www.selby-district-junior-football-league.co.uk/,selby-district-junior-football-league.co.uk,Home | Selby &amp; District Junior Football League (selby-district-junior-football-league.co.uk) -  ,4,4,gooletowntigers.co.uk,https://www.gooletowntigers.co.uk/summer-tournament-2026/Sunday/,mostly_dofollow,yes,medium,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
22,http://full-time.thefa.com/Index.do?league=4333696,thefa.com,Full Time - Cheltenham Youth Football League -  Index.do,2,not_analysed (below threshold),,,mostly_dofollow,yes,medium,https://www.footballparent.co.uk/football-development/good-football-development-environment,new_article_opportunity,yes,yes,Investigate domain acquisition
21,http://hthttp//www.thefa.com/GetIntoFootball/GetIntoFootballPages/Mini-Soccer,hthttp,http://hthttp://www.thefa.com/GetIntoFootball/GetIntoFootballPages/Mini-Soccer -   www.thefa.com GetIntoFootball GetIntoFootballPages Mini Soccer,0,not_analysed (below threshold),,,mostly_dofollow,yes,medium,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,new_article_opportunity,yes,manual_check,Ignore
21,https://sts.sims.co.uk/login?signin=0e329b47f4b53bdf8f13471199f064ae,sims.co.uk,SIMS Parent App -  login,0,not_analysed (below threshold),,,mostly_dofollow,yes,medium,https://www.footballparent.co.uk/coaching/best-grassroots-football-apps,new_article_opportunity,yes,no,Ignore
20,https://knightfoundation.org/philanthropys-techno-solutionism-problem/,knightfoundation.org,Philanthropy’s techno-solutionism problem -  philanthropys techno solutionism problem ,19,19,datasociety.net,https://givingcompass.org/article/why-philanthropy-should-help-reign-in-the-power-of-technology,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
20,https://kpmg.com/uk/en/home/media/press-releases/2023/06/productivity-boost-from-generative-ai.html,kpmg.com,Productivity boost from generative AI could add £31 billion of GDP to the UK economy -  uk en home media press releases 2023 06 productivity boost from generative ai.html,10,10,standout-cv.com,https://standout-cv.com/stats/ai-in-recruitment-statistics-uk,mostly_dofollow,yes,low,https://www.footballparent.co.uk/parent-guides/what-to-say-after-football-matches,new_article_opportunity,yes,no,Create replacement article then outreach
20,https://www.emilyrand.com/,emilyrand.com,Illustration by Emily Rand -  ,23,23,jrf.org.uk,https://rcwlitagency.com/clients/emily-rand,mostly_dofollow,yes,low,,new_article_opportunity,yes,no,Create replacement article then outreach
20,https://sheffieldfc.com/the-worlds-first/history,sheffieldfc.com,Nathaniel Creswick and William Prest -  the worlds first history,43,43,hmfckickback.co.uk,https://www.hmfckickback.co.uk/index.php?/topic/208306-the-epl-is-soulless/page/3/,mostly_dofollow,yes,low,https://www.footballparent.co.uk/football-development/playing-up-an-age-group-football,new_article_opportunity,yes,no,Create replacement article then outreach
20,https://www.stayalive.app/,stayalive.app,Having suicidal thoughts? -  ,318,318,prevent-suicide.org.uk,https://prevent-suicide.org.uk/stay-alive-app-grassroots-suicide-prevention/,mostly_dofollow,yes,low,,new_article_opportunity,yes,yes,Investigate both acquisition and broken-link outreach
20,http://www.premierleague.com/content/premierleague/en-gb/youth/elite-player-performance-plan.html,premierleague.com, content premierleague en gb youth elite player performance plan.html,22,22,tomkinstimes.com,https://tomkinstimes.com/2014/07/strengthening-the-strong-weakening-the-weak/,mostly_dofollow,no,low,https://www.footballparent.co.uk/academy-pathway/what-is-eppp,close_replacement,no,no,Contact linking site and suggest existing Football Parent article
20,https://thefa.shorthandstories.com/futurefit/index.html,shorthandstories.com,CONTENT HUB -  futurefit index.html,35,35,englandfootball.com,https://www.englandfootball.com/articles/2025/Feb/21/Future-Fit-grassroots-youth-football-england-update-20252102,mostly_dofollow,yes,low,https://www.footballparent.co.uk/football-development/new-fa-youth-football-format,new_article_opportunity,yes,no,Create replacement article then outreach
19,https://affinity.hosting/,affinity.hosting,Affinity Hosting- Managed WordPress Hosting -  ,78,78,ukkayaking.co.uk,https://savaspace.co.uk/,mostly_dofollow,yes,low,,new_article_opportunity,yes,manual_check,Create replacement article then outreach
