url,domain,discovery_query,relevance_score,crawl_status
https://hdjfl.co.uk/our-league/useful-links/,hdjfl.co.uk,"intitle:""useful links"" grassroots football uk",0.75,crawled_no_broken_links
https://playerstatus.thefa.com/support/discussions/topics/80000664527,thefa.com,"intitle:""useful links"" grassroots football uk",0.25,crawled_no_broken_links
https://www.horshamsparrows.co.uk/useful-links/,horshamsparrows.co.uk,"intitle:""useful links"" grassroots football uk",0.75,crawled_no_broken_links
https://www.castlecaryfc.co.uk/useful-links/,castlecaryfc.co.uk,"intitle:""useful links"" grassroots football uk",0.5,crawled_no_broken_links
http://www.stdayafc.co.uk/useful-links/,stdayafc.co.uk,"intitle:""useful links"" grassroots football uk",0.25,crawled_no_broken_links
https://www.monkfrystonfc.co.uk/general-5,monkfrystonfc.co.uk,"intitle:""useful links"" grassroots football uk",1,crawled_no_broken_links
https://www.gov.uk/government/publications/a-sustainable-future-reforming-club-football-governance,gov.uk,"intitle:""useful links"" grassroots football uk",0.25,crawled_no_broken_links
https://www.cowley.st-helens.sch.uk/useful-links/,st-helens.sch.uk,"intitle:""useful links"" grassroots football uk",0.25,crawled_no_broken_links
https://htcs.org.uk/useful-links,htcs.org.uk,"intitle:""useful links"" grassroots football uk",0.25,crawled_no_broken_links
https://www.lutterworthhigh.co.uk/page/?title=Useful+Links&pid=98,lutterworthhigh.co.uk,"intitle:""useful links"" grassroots football uk",0.25,crawled_no_broken_links
https://www.juniorgrassrootshub.com/resources,juniorgrassrootshub.com,"intitle:""resources"" grassroots football uk",0.75,crawled_no_broken_links
https://www.thesportingresource.co.uk/,thesportingresource.co.uk,"intitle:""resources"" grassroots football uk",1,crawled_no_broken_links
https://www.amateur-fa.com/clubs-and-leagues/development-resources,amateur-fa.com,"intitle:""resources"" grassroots football uk",0.5,crawled_no_broken_links
https://rinquest.com/insights?guide=guide-2,rinquest.com,"intitle:""resources"" grassroots football uk",0.5,crawled_no_broken_links
https://www.goalssoccerschools.co.uk/resources,goalssoccerschools.co.uk,"intitle:""resources"" grassroots football uk",1,crawled_no_broken_links
https://footballgpt.co/resources,footballgpt.co,"intitle:""resources"" grassroots football uk",0.75,crawled_no_broken_links
https://www.pitchandprep.co.uk/resources,pitchandprep.co.uk,"intitle:""resources"" grassroots football uk",0.25,crawled_no_broken_links
