keyword,search_volume,position,etv,cpc,competition,intent,url,serp_features
jpl,14800,25,32.56,3.5399999618530273,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
jpl league,6600,12,74.58,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
junior premier league football,4400,10,86.68,2.380000114440918,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
junior premier league,4400,12,49.72,2.380000114440918,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
premier league juniors,4400,14,33.00,2.380000114440918,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
premier league junior,4400,15,25.96,2.380000114440918,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
the arsenal academy,4400,21,18.92,0.7200000286102295,0.029999999329447746,informational,https://www.footballparent.co.uk/academy-pathway/arsenal-development-centre-guide,organic people_also_ask ai_overview twitter related_searches knowledge_graph images
crystal palace academy,4400,20,14.52,0.8100000023841858,0.029999999329447746,navigational,https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,organic people_also_ask related_searches knowledge_graph google_reviews images
size 5 football size,3600,50,7.56,1.3799999952316284,1,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview images people_also_ask organic popular_products related_searches
grassroots football,2900,17,16.24,2.0799999237060547,0.029999999329447746,informational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,ai_overview organic people_also_ask related_searches images
west ham academy,2900,23,12.47,0.9599999785423279,0.029999999329447746,informational,https://www.footballparent.co.uk/academy-pathway/west-ham-player-pathway-guide,organic local_pack people_also_ask top_stories perspectives related_searches knowledge_graph images
football grassroots,2900,26,6.67,2.0799999237060547,0.029999999329447746,informational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,ai_overview organic people_also_ask video related_searches images
football sizes,1900,15,17.29,0.8399999737739563,0.7200000286102295,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview images people_also_ask organic related_searches
football trials,1900,45,3.99,1.2999999523162842,0.15000000596046448,informational,https://www.footballparent.co.uk/academy-trials,organic people_also_ask related_searches knowledge_graph google_reviews images
childrens football shin pads,1000,11,19.70,1.4600000381469727,1,transactional,https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,organic people_also_ask compare_sites popular_products related_searches images
what does etc stand for,1000,36,2.10,,0,informational,https://www.footballparent.co.uk/girls-football/emerging-talent-centres-explained,ai_overview people_also_ask video organic short_videos related_searches
what does e t c stand for,1000,39,2.10,,0,informational,https://www.footballparent.co.uk/girls-football/emerging-talent-centres-explained,ai_overview people_also_ask organic video short_videos related_searches
football academy trials,880,39,1.85,1.4600000381469727,0.14000000059604645,informational,https://www.footballparent.co.uk/academy-trials,ai_overview organic people_also_ask related_searches images
academy trials,880,47,1.85,1.7899999618530273,0.09000000357627869,informational,https://www.footballparent.co.uk/academy-trials/what-happens-at-academy-trials,ai_overview organic people_also_ask related_searches knowledge_graph google_reviews images
jpl football,720,5,47.45,,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
jpl #football,720,10,14.18,,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches
veo camera price,720,18,5.40,0.550000011920929,0.9399999976158142,commercial,https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,ai_overview organic people_also_ask popular_products related_searches
jpl league table,720,21,2.38,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,knowledge_graph organic people_also_ask related_searches images
how to become a footballer,590,17,3.48,3.130000114440918,0.12999999523162842,informational,https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,ai_overview video people_also_ask organic related_searches
how to become a pro footballer,590,17,3.48,3.6600000858306885,0.09000000357627869,informational,https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,ai_overview organic people_also_ask video related_searches
how to become a professional footballer,590,25,1.42,3.6600000858306885,0.09000000357627869,informational,https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,ai_overview video people_also_ask organic related_searches
how to become a professional football player,590,29,1.24,3.6600000858306885,0.09000000357627869,informational,https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,ai_overview organic people_also_ask video related_searches
how to become a football player,590,31,1.24,3.130000114440918,0.12999999523162842,informational,https://www.footballparent.co.uk/football-development/how-to-become-a-professional-footballer,ai_overview organic people_also_ask video related_searches
jpl england,480,10,9.46,,0,navigational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic people_also_ask related_searches images
scholarship football,480,22,1.30,3.5299999713897705,0.3400000035762787,informational,https://www.footballparent.co.uk/academy-pathway/football-scholarships-uk,ai_overview organic people_also_ask related_searches images
how to become a football coach,480,58,1.01,4.21999979019165,0.4099999964237213,informational,https://www.footballparent.co.uk/parent-guides/how-to-become-a-football-coach,ai_overview people_also_ask organic related_searches
best shin pads,480,71,1.01,1.7799999713897705,1,transactional,https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,ai_overview organic people_also_ask video discussions_and_forums popular_products compare_sites related_searches images
best football shin pads,390,29,0.94,2.069999933242798,1,commercial,https://www.footballparent.co.uk/football-gear/shin-pads/best-shin-pads-for-kids-football,ai_overview organic popular_products compare_sites people_also_ask related_searches images
