domain_from,domain_from_rank,url_from,page_from_title,url_to,anchor,dofollow,is_lost,first_seen,last_seen,item_type,backlink_spam_score,is_indirect_link
www.mirror.co.uk,613,https://www.mirror.co.uk/sport/other-sports/grass-roots-football-live-last-1665650,Grass Roots Football Live: Last chance to get tickets - Mirror Online,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2023-07-24 02:04:28 +00:00,2025-11-10 10:22:45 +00:00,anchor,0,false
www.mirror.co.uk,611,https://www.mirror.co.uk/sport/other-sports/all-roots-do-lead-to-the-jsp-1663148,All Roots do lead to the JSP - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2021-10-27 18:55:41 +00:00,2026-01-23 19:10:17 +00:00,anchor,5,false
www.mirror.co.uk,611,https://www.mirror.co.uk/sport/other-sports/welcome-to-jsp-live---bigger-1663398,"Welcome to JSP Live! - Bigger, brighter and now in even more areas - Mirror Online",http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2023-05-29 03:12:11 +00:00,2025-12-05 11:30:49 +00:00,anchor,0,false
www.mirror.co.uk,611,https://www.mirror.co.uk/sport/other-sports/robbie-savage-gearing-up-for-the-season-1664595,Robbie Savage: Gearing up for the season finale - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2022-01-26 01:36:17 +00:00,2025-11-29 00:56:44 +00:00,anchor,0,false
www.mirror.co.uk,610,https://www.mirror.co.uk/sport/other-sports/robbie-savage-our-kids-helping-out-1664415,Robbie Savage: Our kids helping out in Malawi - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-07-12 10:01:25 +00:00,2025-12-08 13:42:49 +00:00,anchor,0,false
www.mirror.co.uk,608,https://www.mirror.co.uk/sport/other-sports/win-a-lunch-and-skills-session-with-billy-1663421,Win a lunch and skills session with Billy Wingrove - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2023-05-29 03:24:35 +00:00,2026-04-13 02:45:28 +00:00,anchor,0,false
www.mirror.co.uk,608,https://www.mirror.co.uk/sport/other-sports/q--a-the-professional-karl-1663402,Q & A: The professional Karl Henry - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2023-09-16 16:05:40 +00:00,2026-04-13 01:43:36 +00:00,anchor,0,false
www.mirror.co.uk,608,https://www.mirror.co.uk/sport/other-sports/robbie-savage-the-great-feeling-of-finals-1664147,Robbie Savage: The great feeling of finals - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2023-09-17 08:56:30 +00:00,2026-04-13 01:04:49 +00:00,anchor,0,false
www.mirror.co.uk,603,https://www.mirror.co.uk/sport/other-sports/jsp-competitions-grass-roots-tickets-1663935,JSP Competitions: Grass Roots tickets and lunch with Billy Wingrove - The Mirror,http://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,false,false,2023-05-29 03:26:03 +00:00,2026-07-09 09:16:01 +00:00,anchor,5,false
www.mirror.co.uk,601,https://www.mirror.co.uk/incoming/podcast-ricky-hatton-on-manchester-citys-837384,Podcast: Ricky Hatton on Manchester City's title party and Robbie Savage on Liverpool manager and England squad - The Mirror,http://www.grassrootsfootball.co.uk/,click here for more information,false,false,2021-10-26 23:04:19 +00:00,2026-09-10 20:46:44 +00:00,anchor,5,false
