keyword,search_volume,position,etv,cpc,competition,intent,url,serp_features
tandridge league,12100,4,1177.33,,0,informational,https://www.juniorgrassrootshub.com/leagues/tandridge-youth-football-league,organic people_also_ask related_searches
central warwickshire football,12100,5,567.49,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic people_also_ask related_searches
central warwickshire youth football league,12100,5,567.49,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic related_searches images
central warwickshire youth league,12100,5,567.49,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic related_searches images
central warwickshire,12100,6,408.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic related_searches images
central warwickshire football league,12100,6,408.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic related_searches images
central warwickshire league,12100,6,408.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic related_searches images
central warwickshire youth football,12100,6,408.98,,0,informational,https://www.juniorgrassrootshub.com/leagues/central-warwickshire-youth-football-league,organic related_searches
echo league,6600,5,642.18,,0,informational,https://www.juniorgrassrootshub.com/leagues/echo-junior-league,organic people_also_ask top_stories related_searches images
avon youth league,5400,4,355.86,,0,informational,https://www.juniorgrassrootshub.com/leagues/avon-youth-league,organic related_searches images
warrington junior football leagues,5400,7,138.24,,0,informational,https://www.juniorgrassrootshub.com/leagues/warrington-junior-football-league,organic related_searches
mid cheshire league,4400,7,112.64,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-cheshire-youth-football-league,organic related_searches images
weetabix league,3600,4,237.24,11.84000015258789,0,informational,https://www.juniorgrassrootshub.com/leagues/weetabix-youth-football-league,organic people_also_ask related_searches images
mid solent youth league,3600,5,168.84,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-solent-youth-football-league,organic related_searches images
norfolk combined,3600,7,92.16,,0,informational,https://www.juniorgrassrootshub.com/leagues/norfolk-combined-youth-football-league,organic people_also_ask related_searches images
norfolk combined youth league,3600,7,92.16,,0,informational,https://www.juniorgrassrootshub.com/leagues/norfolk-combined-youth-football-league,organic related_searches images
bolton and bury league,3600,9,70.92,,0,informational,https://www.juniorgrassrootshub.com/leagues/bolton-bury-and-district-league,organic people_also_ask related_searches images
bury bolton league,3600,8,70.92,,0,informational,https://www.juniorgrassrootshub.com/leagues/bolton-bury-and-district-league,organic related_searches
garforth junior football league,2900,7,74.24,,0,informational,https://www.juniorgrassrootshub.com/leagues/garforth-junior-football-league,organic related_searches images
russell foster youth league,2900,7,74.24,,0,informational,https://www.juniorgrassrootshub.com/leagues/russell-foster-youth-league,organic related_searches images
academies near me,1900,10,89.11,0.6600000262260437,0.05999999865889549,navigational,https://www.juniorgrassrootshub.com/academies/category-3,ai_overview local_pack people_also_ask organic related_searches
colchester and district youth league,1900,5,89.11,,0,informational,https://www.juniorgrassrootshub.com/leagues/colchester-and-district-youth-league,organic related_searches
colchester district youth league,1900,5,89.11,,0,informational,https://www.juniorgrassrootshub.com/leagues/colchester-and-district-youth-league,organic people_also_ask related_searches images
eastham league,1900,5,89.11,,0,informational,https://www.juniorgrassrootshub.com/leagues/eastham-and-district-junior-football-league,organic related_searches
blackwater and dengie league,1900,6,64.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/blackwater-and-dengie-youth-football-league,organic related_searches google_reviews knowledge_graph images
colchester and youth district league,1900,6,64.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/colchester-and-district-youth-league,organic related_searches
dengie and blackwater league,1900,7,64.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/blackwater-and-dengie-youth-football-league,organic people_also_ask related_searches google_reviews knowledge_graph
mid cheshire youth league,1900,6,64.22,,0,informational,https://www.juniorgrassrootshub.com/leagues/mid-cheshire-youth-football-league,organic related_searches images
armagh sports & trophies,1900,7,48.64,1.059999942779541,0.07000000029802322,navigational,https://www.juniorgrassrootshub.com/supporters/armagh-sports-and-trophies,organic related_searches knowledge_graph google_reviews
armagh sports and trophies,1900,7,48.64,1.059999942779541,0.07000000029802322,informational,https://www.juniorgrassrootshub.com/supporters/armagh-sports-and-trophies,organic people_also_ask related_searches knowledge_graph google_reviews images
north staffs junior youth league,1900,7,48.64,,0,informational,https://www.juniorgrassrootshub.com/leagues/north-staffs-junior-youth-league,organic people_also_ask related_searches
portsmouth youth league,1900,7,48.64,,0,informational,https://www.juniorgrassrootshub.com/leagues/portsmouth-youth-football-league,organic related_searches images
cambridge colts league,1600,5,75.04,,0,informational,https://www.juniorgrassrootshub.com/leagues/cambridge-and-district-colts-league,organic related_searches
royston crow league,1600,7,54.08,,0,informational,https://www.juniorgrassrootshub.com/leagues/royston-crow-youth-football-league,organic top_stories people_also_ask related_searches images
blackwater and dengie,1600,7,40.96,,0,informational,https://www.juniorgrassrootshub.com/leagues/blackwater-and-dengie-youth-football-league,organic people_also_ask related_searches google_reviews knowledge_graph
blackwater dengie,1600,7,40.96,,0,informational,https://www.juniorgrassrootshub.com/leagues/blackwater-and-dengie-youth-football-league,organic related_searches google_reviews knowledge_graph
norfolk suffolk youth league,1600,7,40.96,,0,informational,https://www.juniorgrassrootshub.com/leagues/in/norfolk,organic people_also_ask related_searches
brentwood youth league,1600,8,31.52,,0,navigational,https://www.juniorgrassrootshub.com/leagues/brentwood-community-football-alliance-youth-league,organic related_searches images
dengie and blackwater,1600,8,31.52,,0,informational,https://www.juniorgrassrootshub.com/leagues/blackwater-and-dengie-youth-football-league,organic related_searches google_reviews knowledge_graph images
ambassador evesham league,1300,3,126.49,,0,informational,https://www.juniorgrassrootshub.com/leagues/ambassador-evesham-football-league,organic related_searches
echo junior league,1300,3,126.49,,0,informational,https://www.juniorgrassrootshub.com/leagues/echo-junior-league,organic people_also_ask related_searches images
evesham ambassador league,1300,3,126.49,,0,informational,https://www.juniorgrassrootshub.com/leagues/ambassador-evesham-football-league,organic related_searches
timperley district league,1300,4,85.67,,0,informational,https://www.juniorgrassrootshub.com/leagues/timperley-and-district-junior-football-league,organic related_searches images
echo league junior,1300,5,60.97,,0,informational,https://www.juniorgrassrootshub.com/leagues/echo-junior-league,organic people_also_ask related_searches
testway youth league,1300,5,60.97,,0,informational,https://www.juniorgrassrootshub.com/leagues/testway-youth-football-league,organic related_searches images
timperley and district league,1300,5,60.97,,0,informational,https://www.juniorgrassrootshub.com/leagues/timperley-and-district-junior-football-league,organic related_searches images
colchester youth league,1300,6,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/colchester-and-district-youth-league,organic related_searches
devon junior and minor league,1300,7,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/devon-junior-and-minor-league,organic ai_overview people_also_ask related_searches images
devon junior minor league,1300,6,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/devon-junior-and-minor-league,organic related_searches images
north bury junior football league,1300,6,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/north-bury-junior-football-league,organic related_searches images
southampton & district tyro league,1300,6,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/southampton-and-district-tyro-football-league,organic related_searches
southampton and district tyro league,1300,6,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/southampton-and-district-tyro-football-league,organic related_searches images
southampton tyro league,1300,6,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/southampton-and-district-tyro-football-league,organic related_searches images
springfields football club,1300,7,43.94,0.07999999821186066,0.019999999552965164,informational,https://www.juniorgrassrootshub.com/clubs/springfields-preston,organic people_also_ask related_searches knowledge_graph google_reviews
tyro league southampton,1300,7,43.94,,0,informational,https://www.juniorgrassrootshub.com/leagues/southampton-and-district-tyro-football-league,organic people_also_ask related_searches images
springfields fc,1300,8,33.28,0.07999999821186066,0.019999999552965164,navigational,https://www.juniorgrassrootshub.com/clubs/springfields-preston,organic people_also_ask related_searches knowledge_graph google_reviews images
ipswich suffolk youth league,1300,8,25.61,,0,informational,https://www.juniorgrassrootshub.com/leagues/ipswich-and-suffolk-youth-football-league,organic related_searches
ashford and district youth league,1000,2,162.00,,0,informational,https://www.juniorgrassrootshub.com/leagues/ashford-and-district-youth-football-league,organic related_searches
ashford district youth league,1000,2,162.00,,0,informational,https://www.juniorgrassrootshub.com/leagues/ashford-and-district-youth-football-league,organic related_searches
ashford youth league,1000,2,162.00,,0,informational,https://www.juniorgrassrootshub.com/leagues/ashford-and-district-youth-football-league,organic related_searches
paisley and johnstone league,1000,3,97.30,,0,informational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches
paisley johnstone league,1000,3,97.30,,0,informational,https://www.juniorgrassrootshub.com/leagues/paisley-johnstone-and-district-youth-football-league,organic related_searches images
craven minor league,1000,4,65.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/craven-minor-junior-football-league,organic related_searches images
bedfordshire saturday youth league,1000,5,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/bedfordshire-youth-saturday-league,organic related_searches
bedfordshire youth saturday league,1000,5,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/bedfordshire-youth-saturday-league,organic related_searches
beds saturday youth league,1000,5,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/bedfordshire-youth-saturday-league,organic related_searches
beds youth saturday league,1000,5,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/bedfordshire-youth-saturday-league,organic related_searches images
derby city league,1000,5,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/derby-city-football-league,organic related_searches images
mercian league,1000,6,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/mercian-fortis-junior-league,organic people_also_ask related_searches images
mid lincs,1000,5,46.90,,0,informational,https://www.juniorgrassrootshub.com/leagues/lincolnshire-co-op-mid-lincs-county-youth-football-league,organic related_searches images
afc camden,1000,8,33.80,,0,navigational,https://www.juniorgrassrootshub.com/clubs/camden-borough-afc,twitter organic ai_overview people_also_ask related_searches images
burton junior football league,1000,6,33.80,,0,informational,https://www.juniorgrassrootshub.com/leagues/burton-junior-football-league,organic related_searches images
mid lincs league,1000,6,33.80,,0,informational,https://www.juniorgrassrootshub.com/leagues/lincolnshire-co-op-mid-lincs-county-youth-football-league,organic related_searches
burton football league junior,1000,7,25.60,,0,informational,https://www.juniorgrassrootshub.com/leagues/burton-junior-football-league,organic people_also_ask related_searches
east lancashire football alliance,1000,7,25.60,,0,informational,https://www.juniorgrassrootshub.com/leagues/east-lancashire-football-alliance,organic related_searches images
mercian regional league,1000,8,25.60,,0,informational,https://www.juniorgrassrootshub.com/leagues/mercian-fortis-junior-league,organic ai_overview people_also_ask related_searches
harrow league,1000,9,19.70,,0,informational,https://www.juniorgrassrootshub.com/leagues/harrow-youth-football-league,organic related_searches images
tandridge youth league,880,2,142.56,,0,informational,https://www.juniorgrassrootshub.com/leagues/tandridge-youth-football-league,organic people_also_ask related_searches
