domain,third_party_links,referring_domains,dofollow,still_live,best_referrer,best_referrer_rank,own_rank,own_referring_domains,own_backlinks,own_first_seen,top_old_urls,top_anchors,verdict,notes
grassrootsfootball.co.uk,155,92,115,150,www.mirror.co.uk,613,433,95,149881,2019-01-21,https://grassrootsfootball.co.uk/ x76 / https://www.grassrootsfootball.co.uk/ x37 / http://www.grassrootsfootball.co.uk/ x30,www.grassrootsfootball.co.uk x47 / grassrootsfootball x29 / grassrootsfootball.co.uk x21,,
onlinesoccermanager.net,265,23,250,229,forum.gamezone.de,421,156,49,413,2020-04-09,http://onlinesoccermanager.net/ x225 / http://www.onlinesoccermanager.net/ x24 / https://onlinesoccermanager.net/ x16,OFM - Der Online Fussball Manager x182 / (empty) x36 / http://www.onlinesoccermanager.net x22,,
grassrootsfootball.org.uk,12,12,5,12,hu.wiki7.org,584,80,46,50,2021-11-14,http://www.grassrootsfootball.org.uk/ x12,Romford and District Football League x5 / Ромфорд и Дистрикт лиге x5 / Ромфорд и Дистрикт лиге x1,,
lowestoftsundayleague.com,13,11,7,12,wiki-gateway.eudic.net,621,46,55,63,2021-09-10,http://www.lowestoftsundayleague.com/ x9 / http://lowestoftsundayleague.com/ x4,Lowestoft Sunday League x8 / lowestoftsundayleague.com/ x2 / 로스토프트 선데이 리그 x1,,
southwalesfaseniorleague.co.uk,304,10,301,304,www.pitchero.com,587,86,72,389,2021-07-19,http://www.southwalesfaseniorleague.co.uk/ x296 / http://www.southwalesfaseniorleague.co.uk/LeagueHistory x8,South Wales Snr League x293 / League History x2 / South Wales Senior League x2,,
islwynyouthleague.co.uk,11,10,6,11,ipfs.io,521,56,34,38,2021-09-29,http://www.islwynyouthleague.co.uk/u16tab.html x6 / http://www.islwynyouthleague.co.uk/ x5,"Islwyn Junior Youth League x5 / ""Islwyn Youth League"" x3 / the original x2",,
girlsinfootball.co.uk,760,10,751,760,ipfs.io,521,145,44,801,2019-01-24,http://www.girlsinfootball.co.uk/ x750 / http://www.girlsinfootball.co.uk/news/104 x8 / http://www.girlsinfootball.co.uk/news/301 x2,"Girls In Football x746 / ""Potter Returns To Birmingham"" x7 / ""Everton win group opener"" x2",,
warringtonsundayleague.co.uk,9,9,5,9,wiki-gateway.eudic.net,623,3,39,43,2022-01-20,http://www.warringtonsundayleague.co.uk/ x9,Warrington Sunday League x6 / 워링턴 선데이 x1 / Уоррингтонская воскресная лига x1,,
sussexcountyinterscholasticleague.com,8,8,4,8,es-academic.com,641,33,55,59,2022-09-15,http://sussexcountyinterscholasticleague.com/ x6 / https://sussexcountyinterscholasticleague.com/ x2,Sussex County Interscholastic League x5 / (empty) x1 / Liga del interescolástico del condado de Sussex x1,,
soccercoachingforums.com,10,5,4,10,prlog.ru,418,0,52,61,2022-11-05,http://www.soccercoachingforums.com/ x6 / http://www.soccercoachingforums.com/rss.php x3 / http://www.soccercoachingforums.com/viewforum.php x1,RSS x3 / www.soccercoachingforums.com x3 / http://www.soccercoachingforums.com/viewforum.php x1,,
morpethsundayleague.org,4,4,2,4,www.pitchero.com,587,0,47,50,2021-09-10,http://www.morpethsundayleague.org/ x4,Morpeth Sunday League x4,,
playfootballmanager.com,5,4,4,4,fohweb.com,574,47,67,78,2022-10-08,http://playfootballmanager.com/ x2 / http://www.playfootballmanager.com/ x2 / http://www.playfootballmanager.com/challenges x1,Play Football Manager » The Football Manager Challenges Website x2 / playfootballmanager x1 / PlayFootballManager.com x1,,
huntsminisoccer.com,4,4,2,4,jcsearch.com,350,0,55,59,2021-09-10,http://huntsminisoccer.com/ x4,Huntingdonshire Mini Soccer League x4,,
hassocks6aside.co.uk,5,4,2,5,www.westsussex.info,235,0,43,46,2019-04-23,http://www.hassocks6aside.co.uk/ x5,Hassocks Six a Side Tournament x4 / Hassocks Six a Side Tournament website x1,,
bracknellsundayleaguefootball.com,3,3,0,3,www.iaswww.com,200,0,56,57,2021-09-10,http://www.bracknellsundayleaguefootball.com/ x3,Bracknell Town and District Sunday Football League x2 / bracknellsundayleaguefootball.co x1,,
runcornsundayleague.com,4,3,0,4,iasdirect.iaswww.com,200,0,55,59,2021-09-10,http://www.runcornsundayleague.com/ x4,runcornsundayleague.com/ x2 / Runcorn Sunday League x2,,
redhillanddistrictfootballleague.co.uk,512,2,512,508,football.mitoo.co.uk,324,288,45,553,2023-10-11,http://www.redhillanddistrictfootballleague.co.uk/ x512,(empty) x512,,
harlowanddistrictfootballleague.co.uk,2,1,0,2,www.thebestof.co.uk,385,0,32,36,2022-02-16,http://www.harlowanddistrictfootballleague.co.uk/run.asp x2,(empty) x1 / Visit our website x1,,
footballcoachonline.com,1,1,1,1,webna.ir,282,24,49,53,2023-06-29,http://www.footballcoachonline.com/ x1,www.footballcoachonline.com x1,,
croydonsundayfootballleague.co.uk,2,1,2,2,www.londoneverything.co.uk,250,0,38,39,2021-04-12,http://www.croydonsundayfootballleague.co.uk/ x2,Croydon Sunday Football League x2,,
cumberlandcountyleague.co.uk,293,1,293,293,onion-bag.blogspot.com,227,0,35,328,2021-07-19,http://www.cumberlandcountyleague.co.uk/ x293,Cumberland County x293,,
junior-league.org,1,1,1,1,deb.denovich.com,225,0,39,42,2022-08-13,http://www.junior-league.org/events.htm x1,Junior League x1,,
leamsundayfootball.co.uk,1,1,0,1,urlm.co.uk,193,0,28,29,2023-04-02,http://www.leamsundayfootball.co.uk/ x1,(empty) x1,,
